title,artist,year,error
mony mony live,billy idol,1987,All methods failed
songbird,kenny g,1987,All methods failed
piano in the dark,brenda russell featuring joe esposito,1988,All methods failed
tictactoe,kyper,1990,All methods failed
snap yo fingers,lil jon featuring e-40 & sean paul of the youngbloodz,1991,All methods failed
ms new booty,bubba sparxxx featuring ying yang twins & mr. collipark,1991,All methods failed
i think they like me,"dem franchize boyz featuring jermaine dupri, da brat & bow wow",1991,All methods failed
independent,webbie featuring lil' phat & lil' boosie,2008,All methods failed
i gotta feeling,the black eyed peas,2009,All methods failed
single ladies,beyonce,2009,All methods failed
how do you sleep,jesse mccartney featuring ludacris,2009,All methods failed
meet me halfway,the black eyed peas,2010,All methods failed
hey daddy,usher featuring plies,2010,All methods failed
et,katy perry featuring kanye west,2011,All methods failed
dance,big sean featuring nicki minaj,2012,All methods failed
cruise,florida georgia line featuring nelly,2013,All methods failed
summertime sadness,lana del rey vs. cedric gervais,2013,All methods failed
i dont fk with you,big sean featuring e-40,2015,All methods failed
cheap thrills,sia featuring sean paul,2016,All methods failed
down in the dm,yo gotti featuring nicki minaj,2016,All methods failed
stay,zedd & alessia cara,2017,All methods failed
18002738255,logic featuring alessia cara & khalid,2017,All methods failed
rockstar,post malone featuring 21 savage,2017,All methods failed
te bote,"casper magico, nio garcia, darell, nicky jam, ozuna & bad bunny",2018,All methods failed
lemon,n*e*r*d & rihanna,2018,All methods failed
me,taylor swift featuring brendon urie,2019,All methods failed
con calma,daddy yankee & katy perry featuring snow,2019,All methods failed
i hope,gabby barrett featuring charlie puth,2020,All methods failed
whats poppin,"jack harlow featuring dababy, tory lanez & lil wayne",2020,All methods failed
py fairy,jhene aiko,2020,All methods failed
save your tears,the weeknd & ariana grande,2021,All methods failed
3435,ariana grande doja cat & megan thee stallion,2021,All methods failed
youre mines still,yung bleu featuring drake,2021,All methods failed
essence,wizkid featuring justin bieber & tems,2021,All methods failed
no more parties,coi leray featuring lil durk,2021,All methods failed
jingle bell rock,bobby helms,2022,
calm down,rema & selena gomez,2023,All methods failed
die for you,the weeknd & ariana grande,2023,All methods failed
karma,taylor swift featuring ice spice,2023,All methods failed
bebe dame,fuerza regida x grupo frontera,2023,All methods failed
last christmas,wham!,2023,
lookin out my back doorlong as i can see the light,creedence clearwater revival,1970,All methods failed
the wonder of youmama liked the roses,elvis presley,1970,All methods failed
up around the bendrun through the jungle,creedence clearwater revival,1970,All methods failed
i want to take you higher,ike & tina turner & the ikettes,1970,All methods failed
travelin bandwholl stop the rain,creedence clearwater revival,1970,All methods failed
maggie mayreason to believe,rod stewart,1971,All methods failed
my sweet lordisnt it a pity,george harrison,1971,All methods failed
beginningscolour my world,chicago,1971,All methods failed
popcorn,hot butter,1972,All methods failed
rocket man,elton john,1972,All methods failed
scorpio,dennis coffey & the detroit guitar band,1972,All methods failed
black and white,three dog night,1972,All methods failed
joy,apollo 100,1972,All methods failed
frankenstein,edgar winter group,1973,All methods failed
dueling banjos,eric weissberg & steve mandell,1973,All methods failed
also sprach zarathustra,deodato,1973,All methods failed
loves theme,love unlimited orchestra,1974,All methods failed
the entertainer,marvin hamlisch,1974,All methods failed
rockford files,mike post,1975,All methods failed
no no songsnookeroo,ringo starr,1975,All methods failed
you aint seen nothing yetfree wheelin,bachman-turner overdrive,1975,All methods failed
a fifth of beethoven,walter murphy & the big apple band,1976,All methods failed
new kid in townvictim of love,eagles,1977,All methods failed
feels so good,chuck mangione,1978,All methods failed
summer nights,"john travolta, olivia newton-john & grease cast",1978,All methods failed
music box dancer,frank mills,1979,All methods failed
rise,herb alpert,1979,All methods failed
abracadabra,the steve miller band,1982,All methods failed
chariots of fire,vangelis,1982,All methods failed
8675309jenny,tommy tutone,1982,All methods failed
hooked on classics,royal philharmonic orchestra conducted by louis clark,1982,All methods failed
miami vice theme,jan hammer,1985,All methods failed
axel f,harold faltermeyer,1985,All methods failed
mony mony live,billy idol,1987,All methods failed
songbird,kenny g,1987,All methods failed
piano in the dark,brenda russell featuring joe esposito,1988,All methods failed
tictactoe,kyper,1990,All methods failed
snap yo fingers,lil jon featuring e-40 & sean paul of the youngbloodz,1991,All methods failed
ms new booty,bubba sparxxx featuring ying yang twins & mr. collipark,1991,All methods failed
i think they like me,"dem franchize boyz featuring jermaine dupri, da brat & bow wow",1991,All methods failed
independent,webbie featuring lil' phat & lil' boosie,2008,All methods failed
i gotta feeling,the black eyed peas,2009,All methods failed
single ladies,beyonce,2009,All methods failed
how do you sleep,jesse mccartney featuring ludacris,2009,All methods failed
meet me halfway,the black eyed peas,2010,All methods failed
hey daddy,usher featuring plies,2010,All methods failed
et,katy perry featuring kanye west,2011,All methods failed
dance,big sean featuring nicki minaj,2012,All methods failed
cruise,florida georgia line featuring nelly,2013,All methods failed
summertime sadness,lana del rey vs. cedric gervais,2013,All methods failed
i dont fk with you,big sean featuring e-40,2015,All methods failed
cheap thrills,sia featuring sean paul,2016,All methods failed
down in the dm,yo gotti featuring nicki minaj,2016,All methods failed
stay,zedd & alessia cara,2017,All methods failed
18002738255,logic featuring alessia cara & khalid,2017,All methods failed
rockstar,post malone featuring 21 savage,2017,All methods failed
te bote,"casper magico, nio garcia, darell, nicky jam, ozuna & bad bunny",2018,All methods failed
lemon,n*e*r*d & rihanna,2018,All methods failed
me,taylor swift featuring brendon urie,2019,All methods failed
con calma,daddy yankee & katy perry featuring snow,2019,All methods failed
i hope,gabby barrett featuring charlie puth,2020,All methods failed
whats poppin,"jack harlow featuring dababy, tory lanez & lil wayne",2020,All methods failed
py fairy,jhene aiko,2020,All methods failed
save your tears,the weeknd & ariana grande,2021,All methods failed
3435,ariana grande doja cat & megan thee stallion,2021,All methods failed
youre mines still,yung bleu featuring drake,2021,All methods failed
essence,wizkid featuring justin bieber & tems,2021,All methods failed
no more parties,coi leray featuring lil durk,2021,All methods failed
calm down,rema & selena gomez,2023,All methods failed
die for you,the weeknd & ariana grande,2023,All methods failed
karma,taylor swift featuring ice spice,2023,All methods failed
bebe dame,fuerza regida x grupo frontera,2023,All methods failed
last christmas,wham!,2023,"Error: Request timed out:
HTTPSConnectionPool(host='api.genius.com', port=443): Read timed out. (read timeout=5)"
babybabybaby,tlc,1992,All methods failed
321 pump,redhead kingpin & the f.b.i.,1992,All methods failed
human touchbetter days,bruce springsteen,1992,All methods failed
whats up doc,fu-schnickens w/ shaquille o'neal,1993,All methods failed
typical reasons,prince markie dee and the soul convention,1993,All methods failed
the flintstones,the b.c. 52's,1994,All methods failed
screamchildhood,michael jackson & janet jackson,1995,All methods failed
dear mamaold school,2pac,1995,All methods failed
dream about youfunky melody,stevie b,1995,All methods failed
any man of minewhose bed have your boots been under,shania twain,1995,All methods failed
freak me baby,"dis `n' dat 95 south,69 boyz & k-nock",1995,All methods failed
youre makin me highlet it flow,toni braxton,1996,All methods failed
follow you downtil i hear it from you,gin blossoms,1996,All methods failed
children,robert miles,1996,All methods failed
aint no niggadead presidents,jay-z featuring foxxy brown,1996,All methods failed
woohah got you all in checkeverything remains raw,busta rhymes,1996,All methods failed
aint nobodykissing you,faith evans,1996,All methods failed
ghettout,changing faces,1997,All methods failed
espn presents the jock jam,various artists,1997,All methods failed
sweet sexy thing,nu flavor featuring roger,1997,All methods failed
if i could change,"master p featuring steady mobb'n, mia x, mo b. dick & o'dell",1997,All methods failed
no one but you,veronica,1997,All methods failed
da dip,mc luscious featuring kinsui,1997,All methods failed
the boy is mine,brandy & monica,1998,All methods failed
ghetto supastar,pras michel ol' dirty bastard & introducing mya,1998,All methods failed
body bumpin yippieyiyo,public announcement,1998,All methods failed
turn it up remixfire it up,busta rhymes,1998,All methods failed
dingaling,hi-town djs,1998,All methods failed
party aint a party,"queen pen featuring teddy riley, nutta butta, markell & jesse wes",1998,All methods failed
no pigeons,sporty thievz featuring mr. woods,1999,All methods failed
all star,smash mouth,1999,"Error: Request timed out:
HTTPSConnectionPool(host='api.genius.com', port=443): Read timed out. (read timeout=5)"
god must have spent a little more time on you,alabama featuring 'n sync,1999,All methods failed
little goodbyes,shedaisy,1999,All methods failed
got beef,snoop dogg presents tha eastsidaz featuring jayo felony and blaqthoven,2000,All methods failed
fiesta,r. kelly featuring jay-z,2001,All methods failed
i need a girl,"p. diddy & ginuwine featuring loon, mario winans & tammy ruggeri",2002,All methods failed
down 4 u,"irv gotti presents the inc. featuring ja rule, ashanti, charli baltimore & vita",2002,All methods failed
underneath your clothes,shakira,2002,All methods failed
move bh,ludacris featuring mystikal & infamous 2.0,2002,All methods failed
in da club,50 cent,2003,"Error: Request timed out:
HTTPSConnectionPool(host='api.genius.com', port=443): Read timed out. (read timeout=5)"
turn me on,kevin lyttle featuring spragga benz,2004,All methods failed
locked up,akon featuring styles p.,2004,All methods failed
sugar,"trick daddy featuring ludacris, lil' kim & cee-lo",2005,All methods failed
enough cryin,mary j. blige featuring brook-lyn,2006,All methods failed
